Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0805_2012Metric",108.675000,-67.526309,0.000000,top
"C2","10uF","C_0805_2012Metric",113.355000,-58.553309,0.000000,top
"C3","10uF","C_0805_2012Metric",113.765000,-66.828309,180.000000,top
"C4","4.7uF","C_0805_2012Metric",108.675000,-65.253009,180.000000,top
"C5","4.7uF","C_0805_2012Metric",106.135000,-57.874309,-90.000000,top
"C6","22uF","C_0805_2012Metric",108.675000,-62.954309,180.000000,top
"C7","4.7uF","C_0805_2012Metric",103.849000,-57.874309,90.000000,top
"C8","4.7uF","C_0805_2012Metric",108.675000,-69.812309,180.000000,top
"C9","10uF","C_0805_2012Metric",108.675000,-60.668309,0.000000,top
"C10","22uF","C_0805_2012Metric",86.765000,-56.028309,-90.000000,top
"C11","4.7uF","C_0805_2012Metric",108.675000,-72.098309,180.000000,top
"C12","10uF","C_0805_2012Metric",96.737000,-58.890309,90.000000,top
"C13","10uF","C_0805_2012Metric",157.320000,-68.890000,-90.000000,top
"C14","1uF","C_0402_1005Metric",155.700000,-84.010000,-90.000000,top
"C15","100nF","C_0805_2012Metric",149.730000,-80.921250,-90.000000,top
"C16","2.2uF","C_0805_2012Metric",70.420000,-72.200000,-135.000000,top
"C17","100uF","CP_EIA-3528-15_AVX-H",152.530000,-80.721250,90.000000,top
"C18","1uF","C_0805_2012Metric",151.596600,-84.947850,180.000000,top
"C19","10uF","C_0805_2012Metric",125.510000,-31.980000,-90.000000,top
"C20","10nF","C_0805_2012Metric",91.403000,-63.081309,0.000000,top
"C21","10uF","C_0805_2012Metric",79.690000,-82.730001,90.000000,top
"C22","100nF","C_0805_2012Metric",71.950000,-64.749000,-90.000000,top
"C23","1uF/50V","C_1206_3216Metric",63.130000,-67.800000,90.000000,top
"C24","4.7uF","C_0805_2012Metric",101.563000,-57.874309,90.000000,top
"C25","10nF","C_0805_2012Metric",91.403000,-70.701309,0.000000,top
"C26","4.7uF","C_0805_2012Metric",91.657000,-74.384309,90.000000,top
"C27","2.2uF","C_0805_2012Metric",82.513000,-64.478309,0.000000,top
"C28","4.7uF","C_0805_2012Metric",101.944000,-74.384309,90.000000,top
"C29","100nF","C_0805_2012Metric",91.403000,-68.288309,0.000000,top
"C30","100nF","C_0805_2012Metric",91.403000,-65.494309,180.000000,top
"C31","4.7uF","C_0805_2012Metric",104.103000,-74.384309,90.000000,top
"C32","10uF","C_0805_2012Metric",99.277000,-79.337309,90.000000,top
"C33","2.2uF","C_0805_2012Metric",82.513000,-70.828309,180.000000,top
"C34","1uF/50V","C_1206_3216Metric",140.890000,-25.980000,180.000000,top
"C35","1uF/25V","C_0805_2012Metric",128.020000,-53.750000,-90.000000,top
"C36","1uF/50V","C_1206_3216Metric",125.365000,-29.020000,180.000000,top
"C37","1uF/25V","C_0805_2012Metric",125.740000,-44.710000,180.000000,top
"C38","1uF/25V","C_0805_2012Metric",125.930000,-37.300000,180.000000,top
"C39","10uF","C_0805_2012Metric",83.730000,-84.270000,180.000000,top
"C40","100nF","C_0805_2012Metric",108.915000,-50.628309,0.000000,top
"C41","22pF","C_0402_1005Metric",109.440000,-86.750000,-45.000000,top
"D1","MBR0540","D_SOD-123",99.277000,-57.366309,-90.000000,top
"D2","MBR0540","D_SOD-123",88.355000,-63.208309,90.000000,top
"D3","MBR0540","D_SOD-123",85.815000,-63.208309,-90.000000,top
"D4","MBR0540","D_SOD-123",99.404000,-75.019309,90.000000,top
"D5","MBR0540","D_SOD-123",88.355000,-72.352309,90.000000,top
"D6","MBR0540","D_SOD-123",85.815000,-72.352309,-90.000000,top
"D8","LED GREEN","LED_0805_2012Metric",74.395000,-68.598500,-90.000000,top
"D9","LED RED","LED_0805_2012Metric",76.808000,-68.598500,-90.000000,top
"D10","1N5817","D_SOD-123",72.050000,-50.630000,180.000000,top
"IC1","TPS2117DRLR","C22399676_TPS2117-8N",154.442000,-64.260000,0.000000,top
"IC2","BQ27426YZFR","Texas_DSBGA-9_1.62x1.58mm_Layout3x3_P0.5mm",67.820000,-69.770000,0.000000,top
"J3","SM04B-SRSS-TB_LF__SN_","QWIIC_SM04B-SRSS-TB_LFSN_",78.170000,-91.079685,0.000000,top
"J4","Conn_01x02_Shielded","C265329_BATT_S2B-ZR-SM4A",65.385000,-59.430000,180.000000,top
