Designator,Mid X,Mid Y,Rotation,Layer
C1,108.756500,-130.841693,0.000000,top
C2,113.896500,-123.243693,0.000000,top
C3,113.846500,-130.143693,180.000000,top
C4,108.756500,-128.568393,180.000000,top
C5,106.216500,-121.189693,-90.000000,top
C6,108.756500,-126.269693,180.000000,top
C7,103.930500,-121.189693,90.000000,top
C8,108.756500,-133.127693,180.000000,top
C9,108.756500,-123.983693,0.000000,top
C10,86.846500,-119.343693,-90.000000,top
C11,108.756500,-135.413693,180.000000,top
C12,96.818500,-122.205693,90.000000,top
C13,77.396500,-125.043693,180.000000,top
C14,77.296500,-119.243693,0.000000,top
C15,147.796500,-138.743693,-90.000000,top
C16,65.696500,-140.793693,90.000000,top
C17,150.596500,-138.543693,90.000000,top
C18,148.296500,-143.243693,90.000000,top
C19,166.690000,-131.930000,90.000000,top
C20,91.484500,-126.396693,0.000000,top
C21,131.075000,-102.989000,0.000000,top
C22,69.696500,-140.093693,-90.000000,top
C23,69.696500,-143.893693,90.000000,top
C24,101.644500,-121.189693,90.000000,top
C25,91.484500,-134.016693,0.000000,top
C26,91.738500,-137.699693,90.000000,top
C27,82.594500,-127.793693,0.000000,top
C28,102.025500,-137.699693,90.000000,top
C29,91.484500,-131.603693,0.000000,top
C30,91.484500,-128.809693,180.000000,top
C31,104.184500,-137.699693,90.000000,top
C32,99.358500,-142.652693,90.000000,top
C33,82.594500,-134.143693,180.000000,top
C34,194.955000,-129.275000,90.000000,top
C35,171.012000,-124.520000,0.000000,top
C36,174.365000,-116.490000,0.000000,top
C37,194.980000,-117.880000,0.000000,top
C38,187.230000,-114.330000,0.000000,top
C39,107.639000,-96.335000,45.000000,top
C40,112.104000,-100.801000,45.000000,top
C42,73.496500,-115.843693,0.000000,top
C43,170.630000,-98.340000,0.000000,top
C44,171.000000,-88.890000,0.000000,top
D1,99.358500,-120.681693,-90.000000,top
D2,88.436500,-126.523693,90.000000,top
D3,85.896500,-126.523693,-90.000000,top
D4,99.485500,-138.334693,90.000000,top
D5,88.436500,-135.667693,90.000000,top
D6,85.896500,-135.667693,-90.000000,top
D7,63.596500,-125.943693,90.000000,top
D8,72.141500,-143.943193,-90.000000,top
D9,74.554500,-143.943193,-90.000000,top
D10,70.796500,-124.543693,90.000000,top
D11,170.790000,-93.370000,-90.000000,top
D12,127.687000,-106.447000,-90.000000,top
J1,64.236500,-113.643693,-90.000000,top
J2,99.650000,-101.550000,45.000000,top
J6,173.444007,-128.794001,90.000000,top
J11,67.520000,-88.695000,-90.000000,top
J12,59.414000,-69.100000,-90.000000,top
K1,194.307500,-98.650000,90.000000,top
L1,92.754500,-120.427693,90.000000,top
L2,95.802500,-139.096693,90.000000,top
L3,175.490000,-98.340000,0.000000,top
Q1,67.046500,-125.793693,0.000000,top
Q3,86.896500,-105.568693,90.000000,top
Q4,86.796500,-112.543693,-90.000000,top
R1,85.996500,-109.068693,-90.000000,top
R2,72.696500,-119.643693,-90.000000,top
R3,72.246500,-140.343693,-90.000000,top
R4,108.996500,-111.943693,180.000000,top
R5,185.000000,-99.350000,180.000000,top
R6,108.996500,-110.143693,180.000000,top
R7,72.696500,-108.343693,90.000000,top
R8,74.554500,-140.343693,-90.000000,top
R9,71.446500,-128.493693,180.000000,top
R10,145.796500,-138.943693,-90.000000,top
R11,87.596500,-109.068693,90.000000,top
R12,129.400000,-118.000000,-135.000000,top
R13,178.520000,-91.600000,90.000000,top
R14,132.700000,-118.300000,-135.000000,top
R15,117.498000,-115.145000,0.000000,top
R16,185.000000,-97.800000,180.000000,top
R17,113.207000,-102.106000,45.000000,top
R18,107.177700,-139.190293,90.000000,top
R19,87.928500,-129.825693,180.000000,top
R20,84.626500,-129.825693,180.000000,top
R21,67.717500,-140.569693,-90.000000,top
R22,67.717500,-143.843693,-90.000000,top
R23,87.928500,-132.111693,180.000000,top
R24,84.626500,-132.111693,180.000000,top
R26,196.955000,-129.275000,90.000000,top
R27,171.190000,-122.590000,0.000000,top
R28,173.665000,-118.690000,0.000000,top
R29,195.230000,-115.848000,0.000000,top
R30,187.455000,-112.430000,0.000000,top
R31,65.346500,-122.243693,180.000000,top
RN1,80.680000,-86.550000,-90.000000,top
TH1,109.209700,-139.190293,-90.000000,top
U1,113.896500,-126.743693,-90.000000,top
U2,117.912000,-94.408000,45.000000,top
U3,100.120500,-129.571693,180.000000,top
U4,73.496500,-112.343693,0.000000,top
U5,77.296500,-122.143693,180.000000,top
U6,174.660000,-91.750000,90.000000,top
U8,131.821500,-131.793693,180.000000,top
U9,79.996500,-110.543693,0.000000,top
U10,184.950000,-120.710000,0.000000,top
U11,70.496500,-133.484693,-90.000000,top
Y1,110.280698,-98.167698,135.000000,top
