Designator,Mid X,Mid Y,Rotation,Layer
C1,108.7565,-130.841693,0,top
C2,113.8965,-123.243693,0,top
C3,113.8465,-130.143693,180,top
C4,108.7565,-128.568393,180,top
C5,106.2165,-121.189693,-90,top
C6,108.7565,-126.269693,180,top
C7,103.9305,-121.189693,90,top
C8,108.7565,-133.127693,180,top
C9,108.7565,-123.983693,0,top
C10,86.8465,-119.343693,-90,top
C11,108.7565,-135.413693,180,top
C12,96.8185,-122.205693,90,top
C13,77.3965,-125.043693,180,top
C14,77.2965,-119.243693,0,top
C15,147.7965,-138.743693,-90,top
C16,65.6965,-140.793693,90,top
C17,150.5965,-138.543693,90,top
C18,148.2965,-143.243693,90,top
C19,166.69,-131.93,90,top
C20,91.4845,-126.396693,0,top
C21,131.075,-102.989,0,top
C22,69.6965,-140.093693,-90,top
C23,69.6965,-143.893693,90,top
C24,101.6445,-121.189693,90,top
C25,91.4845,-134.016693,0,top
C26,91.7385,-137.699693,90,top
C27,82.5945,-127.793693,0,top
C28,102.0255,-137.699693,90,top
C29,91.4845,-131.603693,0,top
C30,91.4845,-128.809693,180,top
C31,104.1845,-137.699693,90,top
C32,99.3585,-142.652693,90,top
C33,82.5945,-134.143693,180,top
C34,194.955,-129.275,90,top
C35,171.012,-124.52,0,top
C36,173.66,-128.9,180,top
C37,194.98,-117.88,0,top
C38,187.23,-114.33,0,top
C39,107.639,-96.335,45,top
C40,112.104,-100.801,45,top
C42,73.4965,-115.843693,0,top
C43,170.63,-98.34,0,top
C44,171,-88.89,0,top
D1,99.3585,-120.681693,-90,top
D2,88.4365,-126.523693,90,top
D3,85.8965,-126.523693,-90,top
D4,99.4855,-138.334693,90,top
D5,88.4365,-135.667693,90,top
D6,85.8965,-135.667693,-90,top
D7,63.5965,-125.943693,90,top
D8,72.1415,-143.943193,-90,top
D9,74.5545,-143.943193,-90,top
D10,70.7965,-124.543693,90,top
D11,170.79,-93.37,-90,top
D12,127.687,-106.447,-90,top
H1,195,-46.91,0,top
H2,62.5965,-145.343693,0,top
H3,195,-145.343693,0,top
H4,62.67,-46.91,0,top
J1,63,-113.643693,-90,top
J2,99.65,-101.55,45,top
J3,196.045,-95.055,0,top
J4,63,-102.455,-90,top
J6,172.38782,-117.151525,80,top
J11,66.57,-85.865,-90,top
J12,59.414,-69.1,-90,top
JP1,115.8685,-138.715693,-90,top
L1,92.7545,-120.427693,90,top
L2,95.8025,-139.096693,90,top
L3,175.49,-98.34,0,top
Q1,67.0465,-125.793693,0,top
Q3,86.8965,-105.568693,90,top
Q4,86.7965,-112.543693,-90,top
R1,85.9965,-109.068693,-90,top
R2,72.6965,-119.643693,-90,top
R3,72.2465,-140.343693,-90,top
R4,108.9965,-111.943693,180,top
R6,108.9965,-110.143693,180,top
R7,72.6965,-108.343693,90,top
R8,74.5545,-140.343693,-90,top
R9,71.4465,-128.493693,180,top
R10,145.7965,-138.943693,-90,top
R11,87.5965,-109.068693,90,top
R12,129.4,-118,-135,top
R13,178.52,-91.6,90,top
R14,132.7,-118.3,-135,top
R15,117.498,-115.145,0,top
R17,113.207,-102.106,45,top
R18,107.1777,-139.190293,90,top
R19,87.9285,-129.825693,180,top
R20,84.6265,-129.825693,180,top
R21,67.7175,-140.569693,-90,top
R22,67.7175,-143.843693,-90,top
R23,87.9285,-132.111693,180,top
R24,84.6265,-132.111693,180,top
R26,195.07,-133.2,-90,top
R27,171.19,-122.59,0,top
R28,173.88,-130.97,180,top
R29,195.23,-115.848,0,top
R30,187.455,-112.43,0,top
R31,65.3465,-122.243693,180,top
RN1,80.68,-86.55,-90,top
TH1,109.2097,-139.190293,-90,top
TP1,83.0965,-143.843693,0,top
TP2,87.0965,-143.843693,0,top
TP3,79.0965,-143.843693,0,top
TP4,91.0965,-143.843693,0,top
TP5,105.0965,-143.843693,0,top
TP6,185.24,-88.24,0,top
TP7,108.972,-102.992,0,top
U1,113.8965,-126.743693,-90,top
U2,117.912,-94.408,45,top
U3,100.1205,-129.571693,180,top
U4,73.4965,-112.343693,0,top
U5,77.2965,-122.143693,180,top
U6,174.66,-91.75,90,top
U8,131.8215,-131.793693,180,top
U9,79.9965,-110.543693,0,top
U10,184.95,-120.71,0,top
U11,70.4965,-133.484693,-90,top
Y1,110.280698,-98.167698,135,top
